"id","title","image_url","created_at","updated_at","director","detail","open_date"
11,"スパイダーマン　ホームカミング","http://eiga.k-img.com/images/movie/82383/photo/0b817fb31d09c8f8/320.jpg?1495614441","2020-06-30 14:32:01","2020-06-30 14:32:01","ジョン・ワッツ","サム・ライミ監督＆トビー・マグワイア主演の「スパイダーマン」（2002～07）、マーク・ウェブ監督＆アンドリュー・ガーフィールド主演の 「アメイジング・スパイダーマン」（12～14）に続き、3度目の映画化となる新たな「スパイダーマン」。主人公スパイダーマン＝ピーター・パーカー役には、「インポッシブル」のトム・ホランドを抜てきし、「アベンジャーズ」シリーズをはじめとした、同じマーベルコミック原作の作品同士で世界観を共有している「マーベル・シネマティック・ユニバース」に参戦。16年に製作・公開された「シビル・ウォー　キャプテン・アメリカ」で初登場を果たした後のスパイダーマンの戦いを描く。ベルリンでのアベンジャーズ同士の戦いに参加し、キャプテン・アメリカのシールドを奪ったことに興奮するスパイダーマンこと15歳の高校生ピーター・パーカーは、ニューヨークに戻ったあとも、トニー・スタークからもらった特製スーツを駆使し、放課後の部活のノリで街を救う活動にいそしんでいた。そんなニューヨークの街に、トニー・スタークに恨みを抱く謎の敵バルチャーが出現。ヒーローとして認めてもらい、アベンジャーズの仲間入りをしたいピーターは、トニーの忠告を無視してひとりで戦いに挑むのだが……。悪役のバルチャーを演じるのは、「バードマン　あるいは（無知がもたらす予期せぬ奇跡）」のマイケル・キートン。監督は、ミュージックビデオ出身で「クラウン」「COP CAR コップ・カー」で注目された新鋭ジョン・ワッツ。","2017年8月11日"
12,"少女ファニーと運命の旅","http://eiga.k-img.com/images/movie/86923/photo/0594040d871cb912/320.jpg?1495070724","2020-06-30 14:32:01","2020-06-30 14:32:01","ローラ・ドワイヨン","ナチスドイツ支配下のフランスからスイスへ、子どもたちだけで旅を続けたユダヤ人の少女の実話を映画化したヒューマンドラマ。1943年、ナチスドイツの脅威がヨーロッパへ広がり、フランスも支配下に置かれた。13歳のユダヤ人の少女ファニーは、幼い2人の妹とともに児童施設に匿われていたが、密告者によって存在が暴かれてしまい、別の施設に移動することに。しかし、ドイツ兵の厳しい取り締まりのため、移動中に引率者とはぐれてしまう。見知らぬ駅に取り残された9人の子どもたちは、ファニーをリーダー役に、一路スイスを目指して子どもたちだけで移動を開始するが……。実在の女性ファニー・ベン＝アミの自伝を原作に、フランスの名匠ジャック・ドワイヨンを父に持つローラ・ドワイヨン監督が手がけた。","2017年8月11日"
13,"劇場版　仮面ライダーエグゼイド　トゥルー・エンディング","http://eiga.k-img.com/images/movie/86299/photo/908fd8dbfaddae44/320.jpg?1499915987","2020-06-30 14:32:02","2020-06-30 14:32:02","中澤祥次郎","「医療」と「ゲーム」をモチーフに、平成ライダーシリーズの18作目として2016年10月から放送の「仮面ライダーエグゼイド」の劇場版。テレビシリーズと密接に結びついた多くの謎が散りばめられ、テレビシリーズから続くエグゼイドの最後の戦いが描かれる。絶望から解放される「永遠の天国」を創造するため、現実世界を滅ぼし、VR（仮想現実）空間での支配を目論む忍者集団が出現。宝生永夢らは次々と襲いくる衝撃に打ちのめされていくが……。エグゼイドと対決する仮面ライダー風魔こと南雲影成役で「CHEMISTRY」の堂珍嘉邦が出演するほか、ブラザートム、藤本美貴、倉野尾成美（AKB48 Team8）らが劇場版のゲストキャラクターとして登場する。「宇宙戦隊キュウレンジャー THE MOVIE ゲース・インダベーの逆襲」と2本立て上映。","2017年8月5日"
14,"エブリシング","http://eiga.k-img.com/images/movie/87147/photo/01cd83f50b35f592/320.jpg?1499651801","2020-06-30 14:32:03","2020-06-30 14:32:03","ステラ・メギー","病気のため家から出られず外の世界を夢見る少女が、隣の家に越してきた青年とガラス越しに心を通わせ、自分の全てをかけた初恋に身を焦がす様を描いた青春恋愛映画。全米ベストセラーとなったニコラ・ユンによる小説を、「ハンガー・ゲーム」に出演したアマンドラ・ステンバーグと、「ジュラシック・ワールド」のニック・ロビンソンの共演で映画化した。生まれつきの重度の免疫不全のため、人生の大半を厳重に衛生管理された屋内で、医者の母ポーリーンと看護師カーラとともに過ごしてきたマデリン。18歳の誕生日を迎えた日、マデリンは隣家に越してきた青年オリーと知り合い、メール交換をするうちにオリーの魅力に惹かれていく。やがてカーラの協力もあり、オリーと家の中で対面することができたマデリンだったが、ある時、オリーを助けるため、命の危険を顧みず家を飛び出してしまう。母親から二度とオリーに関わるなと言い渡されたマデリンは、オリーのことを忘れようとするのだが……。","2017年8月5日"
15,"夜明けの祈り","http://eiga.k-img.com/images/movie/86006/photo/21db1e76444cdf3f/320.jpg?1496395345","2020-06-30 14:32:03","2020-06-30 14:32:03","アンヌ・フォンテーヌ","第2次世界大戦末期の悲劇的な事件によって傷ついた修道女たちを救うべく尽力した、実在の医師マドレーヌ・ポーリアックをモデルに、「ココ・アヴァン・シャネル」のアンヌ・フォンテーヌ監督が描いたヒューマンドラマ。1945年12月、ポーランド。赤十字で医療活動に従事するフランス人女性医師マチルドのもとに、ひとりの修道女が助けを求めに来る。彼女に連れられて修道院を訪れたマチルドは、ソ連兵の暴行によって妊娠した7人の修道女たちが、信仰と現実の間で苦しんでいる姿を目の当たりにする。マチルドは修道女たちを救うため激務の間を縫って修道院に通うようになり、孤立した修道女たちの唯一の希望となっていく。主演は「待つ女たち」のルー・ドゥ・ラージュ。共演に「ハミングバード」のアガタ・ブゼク、「イーダ」のアガタ・クレシャ、「EDEN エデン」のバンサン・マケーニュ。","2017年8月5日"
16,"ロスト・イン・パリ","http://eiga.k-img.com/images/movie/87049/photo/f644c3ae5d95b99e/320.jpg?1493688809","2020-06-30 14:32:04","2020-06-30 14:32:04","ドミニク・アベル","「アイスバーグ！」「ルンバ！」で知られるベルギーの道化師夫婦ドミニク・アベルとフィオナ・ゴードンの製作・監督・脚本・主演による、夏のパリを舞台にしたコメディ映画。雪深いカナダの小さな村で味気ない毎日を送っている図書館司書のフィオナのもとに、パリに住むおばのマーサから手紙が届いた。フィオナに助けを求めるマーサのために、臆病者のフィオナは勇気をふり絞ってパリへと旅に出る。しかし、アパートにマーサの姿はなく、セーヌ川に落ちたフィオナは所持品を全部なくしてしまうという大ピンチに。さらに謎の男ドムにもしつこくつきまとわれる始末。フィオナの前途多難なマーサ探しの冒険の旅がスタートする。フィオナ役をゴードン、ドム役をアベルがそれぞれ演じ、2017年1月に89歳で亡くなったフランスの名優エマニュエル・リバが、おばマーサ役でコメディエンヌぶりを披露している。","2017年8月5日"
17,"スターシップ9","http://eiga.k-img.com/images/movie/87139/photo/0be455862433630b/320.jpg?1495158426","2020-06-30 14:32:05","2020-06-30 14:32:05","アテム・クライチェ","「ヒドゥン・フェイス」「ゾンビ・リミット」などの脚本を手がけたアテム・クライチェの長編初監督作で、スペイン・コロンビア合作によるSFドラマ。過度の公害により汚染された地球に代わる未知の星を目指し、エレナは1人恒星間飛行の旅を続けていた。ある日、スペースシップの給気系統が故障したため、エレナは近隣のスペースシップに救援信号を送る。呼びかけに応じ、エレナのスペースシップを訪れたのが、エンジニアの青年アレックスだった。エレナとアレックスはともに好意を抱き、恋に落おちる。しかし、この出会いは偶然ではなく、人類を救うための大いなる実験の一部だった。エレナ役に「ヒドゥン・フェイス」のクララ・ラゴ、アレックス役に「X-MEN：ファースト・ジェネレーション」のアレックス・ゴンザレス。","2017年8月5日"
18,"きっと、いい日が待っている","http://eiga.k-img.com/images/movie/87029/photo/e2b0dc1639406da5/320.jpg?1498018016","2020-06-30 14:32:05","2020-06-30 14:32:05","イェスパ・W・ネルスン","コペンハーゲンの養護施設で起きた実話をもとに、自分たちの手で未来を切りひらこうとする幼い兄弟の絆を描き、デンマーク・アカデミー賞で作品賞をはじめ6部門に輝いたヒューマンドラマ。1967年。労働者階級の家庭に生まれた13歳の兄エリックと10歳の弟エルマーは、病気の母親から引き離されて養護施設に預けられる。そこでは、しつけとは名ばかりの体罰が横行していた。さらにエリックたちは新しい環境になじめず、上級生たちによるイジメの標的になってしまう。そんな過酷な日常から抜け出すべく、兄弟は施設からの逃亡を図る。ラース・フォン・トリアー率いる製作会社ツェントローパの俊英イェスパ・W・ネルスンが監督をつとめ、デンマークで史上最高視聴率を記録したテレビドラマ「THE KILLING キリング」のスタッフやキャストが集結。ソフィー・グロベルが子どもたちを見守る教師役、ラース・ミケルセンが厳格な校長役を演じた。","2017年8月5日"
19,"俺たちポップスター","http://eiga.k-img.com/images/movie/85070/photo/3acc00d40ba746fb/320.jpg?1498702556","2020-06-30 14:32:06","2020-06-30 14:32:06","アキバ・シェイファー","「40歳の童貞男」のジャド・アパトー製作による音楽コメディ。幼なじみ3人で結成した世界的に有名なヒップホップバンド「スタイル・ボーイズ」が、フロントマンのコナーのソロデビューにより呆気なく解散。専属DJに成り下がったオーエン、引退して農家に転進したローレンスの元メンバー2人を尻目に、コナーはファーストアルバムが大ヒットし、人気絶頂の中で自身のドキュメンタリーを製作することに。しかし、やることすべてが裏目に出てしまい、セカンドアルバムは不評で大コケし、ワールドツアーも中止に追い込まれてしまう。3人の波乱に満ちた軌跡が音楽ドキュメンタリーのパロディなどを盛り込み描かれる。「スタイル・ボーイズ」の3人を、コメディグループ「ザ・ロンリー・アイランド」アンディ・サムバーグ、アキバ・シェイファー、ヨーマ・タコンが演じ、3人が監督や製作、脚本も担当している。","2017年8月5日"
20,"宇宙戦隊キュウレンジャー THE MOVIE ゲース・インダベーの逆襲","http://eiga.k-img.com/images/movie/86300/photo/ea8e50fac82eb91c/320.jpg?1499916101","2020-06-30 14:32:06","2020-06-30 14:32:06","柴崎貴行","スーパー戦隊シリーズの41作目として2016年2月からテレビ放送の「宇宙戦隊キュウレンジャー」の劇場版。巨大彗星要塞ゲース・スターが地球に衝突するまで、あと72時間に迫り、ジャークマター独立部隊の隊長ゲース・インダベーは、地球を消滅させて全宇宙を牛耳る神の力を手に入れようと企んでいた。この危機を回避するには、宇宙に散りばめられた不思議な力を持つ3つの意志を集めなければならず、キュウレンジャーは惑星から惑星へと、宇宙をめぐる冒険と戦いを繰り広げる。お笑いコンビ「ロンドンブーツ1号2号」の田村亮が最強の敵ゲース・インダベーに扮し、部下のオーモ・インダベーとカール・インダベーの声を、レイザーレモンHGとRGが担当。「劇場版　仮面ライダーエグゼイド　トゥルー・エンディング」と2本立て上映。","2017年8月5日"
21,"沖縄を変えた男","http://eiga.k-img.com/images/movie/84531/photo/353c78b7d7a75d3d/320.jpg?1500862157","2020-06-30 14:32:07","2020-06-30 14:32:07","岸本司","沖縄水産高校野球部で監督を務め、夏の甲子園大会で1990、91年の2年連続準優勝へと導いた栽弘義の実話をベースに映画化したドラマ。栽が歴任した小禄、豊見城、沖縄水産高校時代で実際にあった数々のエピソードや、一貫した思想を凝縮して描いた。琉球水産高校に赴任し、野球部の監督を務めることになった栽弘義。グラウンドも荒れ、廃部寸前だった野球部を甲子園優勝へ導くため、栽は部員たちに過酷なトレーニングと苛烈な指導で容赦ない試練を与えていく。試練を耐え抜いた部員たちは、栽が掲げる甲子園優勝も夢ではないと思いはじめる。主人公の栽監督役を「ガレッジセール」のゴリが演じる。","2017年8月5日"
22,"オラファー・エリアソン　視覚と知覚","http://eiga.k-img.com/images/movie/87105/photo/b072d4eb53fb2d97/320.jpg?1495419090","2020-06-30 14:32:08","2020-06-30 14:32:08","ヘンリク・ルンデ","デンマークの現代美術家オラファー・エリアソンを追ったドキュメンタリー。2008年に総制作費約17億円をかけ、世界55カ国の約140万人が鑑賞、75億円超の経済効果を記録した、ニューヨーク市イースト川での巨大な滝のインスタレーション「ザ・ニューヨークシティー・ウォーターフォールズ」の制作過程の模様を中心に、2009年に金沢21世紀美術館で開催された個展の出展作品、ドイツのスタジオでの制作風景を映し出す。また、創作や講演のため世界中を奔走する姿も収め、エリアソン自身が視聴者に語りかけながら行う視覚的実験や、独自の芸術論が展開される。","2017年8月5日"
23,"サイゴン・ボディガード","http://eiga.k-img.com/images/movie/87273/photo/86c85914f0357a09/320.jpg?1500862554","2020-06-30 14:32:08","2020-06-30 14:32:08","落合賢","「タイガーマスク」の日本人監督・落合賢がベトナム映画のメガホンをとり、本国ベトナムで記録的ヒットを叩き出した痛快アクションコメディ。真面目でイケメンなトリンと女好きで失敗ばかりのビエンは、サイゴン・ボディガード社で働く同僚で親友同士。ある日、ビエンの妹が働く大企業の社長が亡くなり、アメリカに留学中の御曹司ヘンリーが緊急帰国する。後継者問題で国中の注目が集まるなか、トリンたちはヘンリーの警護を任されるが、何者かにヘンリーを誘拐されてしまう。偶然にもヘンリーと瓜二つの青年フックと出会ったトリンたちは、フックをヘンリーに成りすまさせて本物のヘンリーの行方を追うが……。「カリコレ2017／カリテ・ファンタスティック！シネマコレクション2017」（17年7月15日～8月18日）上映作品。","2017年8月5日"
24,"ファンタズムV ザ・ファイナル","http://eiga.k-img.com/images/movie/87263/photo/eda0f9829e355811/320.jpg?1496730885","2020-06-30 14:32:09","2020-06-30 14:32:09","デビッド・ハートマン","1979年のシリーズ開始以来、世界中でカルト的人気を集めてきたホラー「ファンタズム」の最終章となる第5作。荒野をさまよいながらマイクとジョディを探し続けるレジーは、悪夢と現実の境を行き来しつつ、宿敵トールマンが仕掛けた罠の数々を乗り越えていく。ついに2人と再会を果たすレジーだったが、彼らの前にトールマンが現われ、驚くべき事実を語り始める。レジー役のレジー・バニスターをはじめ、キャストにはこれまでのメンバーが再結集。トールマン役のアンガス・スクリムは本作が遺作となった。シリーズ全作の監督を手がけてきたドン・コスカレリが製作・原案・脚本を担当し、新鋭デビッド・ハートマンがメガホンをとった。新宿シネマカリテの特集企画「カリコレ2017／カリテ・ファンタスティック！シネマコレクション2017」（17年7月15日～8月18日）上映作品。","2017年8月5日"
25,"闇金ドッグス6","http://eiga.k-img.com/images/movie/87403/photo/606c6f58adea05a7/320.jpg?1501229588","2020-06-30 14:32:10","2020-06-30 14:32:10","元木隆史","闇金を題材に欲望うずまく裏社会に生きる人間たちを描いた山田裕貴主演の「闇金ドッグス」シリーズ第6作。若くしてヤクザの親分になり、稼業引退後に闇金の世界へ足を踏み入れたラストファイナンスの社長・安藤忠臣は、元イケメンホストの須藤司とともに債務者たちを追い込む日々を送っていた。債権ブローカーから安く買い取った伊良部慎太郎名義の債権。忠臣は400万円で買った焦げ付いた債券で、まだ1000万円は引っ張れると踏んでいた。そんな折、忠臣の前に10年以上前に別れた恋人の荒木未奈美が現れる。伊良部と結婚した未奈美は、借金を背負い行方不明となった夫の手がかりを探しにラストファイナンスにたどり着いたという。","2017年8月5日"
26,"リベリアの白い血","http://eiga.k-img.com/images/movie/87091/photo/13610157596015af/320.jpg?1494992366","2020-06-30 14:32:11","2020-06-30 14:32:11","福永壮志","ニューヨークを拠点に活動し、本作が長編デビュー作となる福永壮志監督が、ニューヨークとアフリカを舞台に描く移民の物語。シスコはリベリア共和国のゴム農園で働きながら、家族を養っていた。過酷な労働環境改善のため、仲間たちとともに立ち上がるが、状況は一向に変わる気配がなかった。そんな折、シスコはいとこのマービンからニューヨークの話を聞き、より良い生活のために愛する家族をリベリアに残し、単身アメリカへ渡ることを決意する。ニューヨークのリベリア人コミュニティに身を置き、タクシードライバーとして働き出したシスコは、移民の現実に直面しながらも、多種多様な人が住み、騒がしい都会での生活に少しずつ順応していく。しかし、予期せぬタイミングで元兵士のジェイコブと再会したシスコに、リベリアでの忌々しい過去がよみがえってくる。","2017年8月5日"
27,"トランスフォーマー　最後の騎士王","http://eiga.k-img.com/images/movie/84962/photo/3e85eaad8e5ff637/320.jpg?1497579908","2020-06-30 14:32:11","2020-06-30 14:32:11","マイケル・ベイ","マイケル・ベイ監督による大ヒットSFアクション大作「トランスフォーマー」シリーズの5作目。地球上に存在するあらゆるマシンに変形する金属生命体トランスフォーマーが、太古の時代から地球の歴史に干渉してきたという、新たな真実が明らかにされる。トランスフォーマーの起源であり「創造主」と呼ばれる異星人が、惑星サイバトロンの再生と地球侵略を計画。それを阻止すべく旅立ったオプティマス・プライムだったが、創造主に捕えられて洗脳されてしまい、人類を滅ぼすべく地球に舞い戻ってくる。一方、オプティマスが不在中の地球では、バンブルビーがオートボットの新たなリーダーとなり、復活したメガトロンとディセプティコンに対抗していた。バンブルビーらオートボットと行動をともにするケイド・イェーガーは、孤児の少女イザベラを助け、謎の英国紳士バートンの導きによってイギリスに向かうが、バートンのもとでオックスフォード大学の教授を務める女性ヴィヴィアンと引きあわされる。バートンは、ケイドとヴィヴィアンに、これまで隠されていた真実を明かすが……。前作に続いてケイド役のマーク・ウォールバーグが主演し、1～3作目のレギュラーキャストだったレノックス役のジョシュ・デュアメル、シモンズ役のジョン・タトゥーロが復帰。バートン役で名優アンソニー・ホプキンスが出演。","2017年8月4日"
28,"ジョジョの奇妙な冒険　ダイヤモンドは砕けない　第一章","http://eiga.k-img.com/images/movie/85735/photo/f8dbab01c2c9f1bd/320.jpg?1496796217","2020-06-30 14:32:12","2020-06-30 14:32:12","三池崇史","シリーズ累計発行部数1億部を超える荒木飛呂彦の大ヒットコミック「ジョジョの奇妙な冒険」初の実写映画化作。東宝とワーナー・ブラザース映画が初タッグを組み、原作の第4部「ダイヤモンドは砕けない」を、三池崇史監督×山崎賢人主演でスクリーンに描き出す。共演には神木隆之介、小松菜奈、山田孝之、伊勢谷友介ら豪華キャストが集う。美しい海辺の町・杜王町（もりおうちょう）に暮らし、見た目こそ不良だが心根は優しい高校生の東方仗助は、「スタンド」と呼ばれる特殊能力の持ち主。仗助のスタンドは、触れるだけで他人のケガや壊れたものを直すことができるというものだった。一見すると平和に見える杜王町では、このところ不審な変死事件が続発しており、一連の事件が自分とは別のスタンドを使う者たちによる犯行だと知った仗助は、町を守るために立ち上がる。","2017年8月4日"
29,"STAR SAND 星砂物語","http://eiga.k-img.com/images/movie/86790/photo/19142e5672bc7ab2/320.jpg?1496018483","2020-06-30 14:32:13","2020-06-30 14:32:13","ロジャー・パルバース","大島渚監督の「戦場のメリークリスマス」では助監督を務め、「明日への遺言」では小泉堯史監督とともに共同脚本を手がけるなど、日本映画、日本文化に造詣が深いアメリカ人作家ロジャー・パルバースが太平洋戦争下の沖縄を舞台に書いた小説を、自身の脚本、初監督作品として映画化。1945年の沖縄。戦禍から遠く離れた小さな島の洞窟で日本人とアメリカ人、2人の脱走兵と出会った16歳の少女・洋海。戦うことが嫌になり軍から離れた敵同士の2人と洋海の3人の間に不思議な関係が築かれていく。しかし、隆康の兄・一（はじめ）が洞窟を訪れたことから、事態は大きく変わっていく。2016年の東京。大学生の志保は、卒業論文の資料として教授から一冊の日記を手渡される。その日記には1945年、戦時中に沖縄の小島で暮らす16歳の少女が見聞きした事柄が記されていた。洋海役は本作が映画初主演となる織田梨沙。志保役を吉岡里帆が演じる。主題曲を監督と長年の友人関係にある坂本龍一が手がける。","2017年8月4日"
